date,open,high,low,close,volume,adj_close,ticker,daily_return,log_return,return_5d_forward,return_10d_forward,rolling_volatility_20d,volume_ma_20d,volume_std_20d,volume_zscore,high_5d_forward,low_5d_forward,drawdown_5d_forward,artificial intelligence,ChatGPT,Claude AI,generative AI,machine learning,ai_trend_score,ai_trend_4w_mean,ai_trend_4w_change,ai_trend_spike,ai_trend_bucket,form_type,accession,filed_date,period_of_report,file_path,word_count,artificial_intelligence_count,artificial_intelligence_density,generative_ai_count,generative_ai_density,machine_learning_count,machine_learning_density,large_language_model_count,large_language_model_density,llm_count,llm_density,data_center_count,data_center_density,accelerated_computing_count,accelerated_computing_density,automation_count,automation_density,gpu_count,gpu_density,cloud_computing_count,cloud_computing_density,sec_ai_total_count,sec_ai_density,sec_ai_density_yoy_change,sec_ai_count_yoy_change,sec_signal_date,volume_bucket,recent_return_bucket,rl_state
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,104487900,177.93972778320312,AAPL,,,-0.05395303753531444,-0.06708418121851845,,,,,182.94000244140625,168.1699981689453,-0.07603976020872205,1,0,0,0,1,0.4,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,low|nan|nan
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,99310400,175.68138122558594,AAPL,-0.012691597320536152,-0.012772823634754954,-0.025709489124355223,-0.07495827183894055,,,,,180.1699981689453,168.1699981689453,-0.06416248734059682,1,0,0,0,1,0.4,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,low,low|nan|low
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,94537600,171.00830078125,AAPL,-0.02659988236212174,-0.02696006073023417,0.0034873120097016486,-0.059512941750976545,,,,,177.17999267578125,168.1699981689453,-0.03858906969276643,1,0,0,0,1,0.4,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,low,low|nan|low
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,96904000,168.15357971191406,AAPL,-0.016693335236175,-0.016834239263311807,0.001104665357013035,-0.0557557926621548,,,,,177.17999267578125,168.1699981689453,-0.022267452506131935,1,0,0,0,1,0.4,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,low,low|nan|low
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,86709100,168.31979370117188,AAPL,0.0009883614473564784,0.0009878733397725046,0.005227444762996969,-0.06127666355322492,,,,,177.17999267578125,168.1699981689453,-0.02323285149875487,1,0,0,0,1,0.4,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,medium,low|nan|medium
2022-01-10,169.0800018310547,172.5,168.1699981689453,172.19000244140625,106765600,168.33932495117188,AAPL,0.00011618907285648739,0.00011618232342896318,-0.013880012519668306,-0.07207156911640278,,,,,177.17999267578125,169.41000366210938,-0.01614494883489459,1,0,0,0,2,0.6,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,medium,low|nan|medium
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,76138300,171.1647186279297,AAPL,0.016783781570778755,0.016644490304428706,-0.05054835510029032,-0.08790266865829244,,,,,177.17999267578125,165.94000244140625,-0.052204702387815716,1,0,0,0,2,0.6,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,high,low|nan|high
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,74805200,171.60462951660156,AAPL,0.0025702361408266317,0.002566938732786523,-0.06278131572436785,-0.09291857615233723,,,,,176.6199951171875,164.17999267578125,-0.06466134667833379,1,0,0,0,2,0.6,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,medium,low|nan|medium
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,84505800,168.33932495117188,AAPL,-0.019028065636177538,-0.019211429037215406,-0.056797715550441774,-0.010802024414771072,,,,,173.77999877929688,162.3000030517578,-0.05743654828632605,1,0,0,0,2,0.6,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,low,low|nan|low
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,80440800,169.1996612548828,AAPL,0.005110661887074208,0.005097646779653606,-0.06615826961618776,0.00988034542504379,,,,,172.5399932861328,154.6999969482422,-0.1061420789193318,1,0,0,0,2,0.6,,,0,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,medium,low|nan|medium
